threshold,fpr,tpr,tp,fp,fn,tn
9.373506094805869,0.36363636363636365,0.7718120805369127,115,16,34,28
8.650013749801957,0.36363636363636365,0.7785234899328859,116,16,33,28
8.421930660403092,0.36363636363636365,0.785234899328859,117,16,32,28
7.775260834773275,0.38636363636363635,0.785234899328859,117,17,32,27
7.583328440429915,0.4090909090909091,0.785234899328859,117,18,32,26
7.536194083334324,0.4318181818181818,0.785234899328859,117,19,32,25
7.504630796613274,0.4318181818181818,0.7919463087248322,118,19,31,25
6.428922289604017,0.4318181818181818,0.7986577181208053,119,19,30,25
5.469928245694655,0.45454545454545453,0.7986577181208053,119,20,30,24
4.614573838773204,0.4772727272727273,0.7986577181208053,119,21,30,23
4.587032356818298,0.4772727272727273,0.8053691275167785,120,21,29,23
4.288866272225864,0.5,0.8053691275167785,120,22,29,22
4.1265845141652475,0.5227272727272727,0.8053691275167785,120,23,29,21
3.948619788585351,0.5454545454545454,0.8053691275167785,120,24,29,20
3.802481165170592,0.5681818181818182,0.8053691275167785,120,25,29,19
3.595700011345741,0.5681818181818182,0.8120805369127517,121,25,28,19
3.591696125548877,0.5909090909090909,0.8120805369127517,121,26,28,18
3.4557310888762345,0.5909090909090909,0.8187919463087249,122,26,27,18
3.105487552573422,0.5909090909090909,0.825503355704698,123,26,26,18
3.001524420221827,0.5909090909090909,0.8322147651006712,124,26,25,18
1.990243323595454,0.6136363636363636,0.8322147651006712,124,27,25,17
1.793901887487067,0.6136363636363636,0.8389261744966443,125,27,24,17
1.6997921885275247,0.6136363636363636,0.8456375838926175,126,27,23,17
1.566851830831851,0.6136363636363636,0.8523489932885906,127,27,22,17
1.5434359871393615,0.6363636363636364,0.8523489932885906,127,28,22,16
1.5110328916039464,0.6590909090909091,0.8523489932885906,127,29,22,15
1.414716263069082,0.6818181818181818,0.8523489932885906,127,30,22,14
1.3865573134318367,0.6818181818181818,0.8590604026845637,128,30,21,14
1.3729016657265927,0.6818181818181818,0.8657718120805369,129,30,20,14
1.368593884953114,0.7954545454545454,0.8993288590604027,134,35,15,9
1.3266232895204304,0.8181818181818182,0.8993288590604027,134,36,15,8
1.279072266932019,0.8181818181818182,0.9060402684563759,135,36,14,8
1.2328673678830455,0.8181818181818182,0.912751677852349,136,36,13,8
1.1764140156061558,0.8181818181818182,0.9194630872483222,137,36,12,8
1.1647340599513285,0.8181818181818182,0.9261744966442953,138,36,11,8
1.1487552751395476,0.8409090909090909,0.9261744966442953,138,37,11,7
1.1410800055591608,0.8409090909090909,0.9328859060402684,139,37,10,7
1.1344530662589847,0.8409090909090909,0.9395973154362416,140,37,9,7
1.128603605028502,0.8409090909090909,0.9463087248322147,141,37,8,7
1.1206007406413505,0.8409090909090909,0.9530201342281879,142,37,7,7
1.1147340990167862,0.8409090909090909,0.959731543624161,143,37,6,7
1.0602757213938503,0.8409090909090909,0.9664429530201343,144,37,5,7
1.0484374870883926,0.8409090909090909,0.9731543624161074,145,37,4,7
1.0275270024512384,0.8636363636363636,0.9731543624161074,145,38,4,6
0.9985721676204093,0.8636363636363636,0.9798657718120806,146,38,3,6
0.9702590583505146,0.8863636363636364,0.9798657718120806,146,39,3,5
0.9274782971759095,0.8863636363636364,0.9865771812080537,147,39,2,5
0.926714047735004,0.8863636363636364,0.9932885906040269,148,39,1,5
0.7758181790762251,0.8863636363636364,1.0,149,39,0,5
0.7641891667388372,0.9090909090909091,1.0,149,40,0,4
0.7552345067782946,0.9318181818181818,1.0,149,41,0,3
0.609121536984448,0.9545454545454546,1.0,149,42,0,2
0.358194362081127,0.9772727272727273,1.0,149,43,0,1
0.2674392506838119,1.0,1.0,149,44,0,0
-inf,1.0,1.0,149,44,0,0
